"journey_id","bike_id","start_dt","end_dt","start_stand_id","end_stand_id","duration_amt"
1004041956,2682,"2011-04-29 06:00:00","2011-04-29 06:04:00",10087,10104,4
1004041957,3935,"2011-04-29 06:02:00","2011-04-29 06:18:00",10131,10131,16
1004041958,4021,"2011-04-29 06:03:00","2011-04-29 06:19:00",10317,10338,16
1004041959,4125,"2011-04-29 06:08:00","2011-04-29 06:22:00",10252,10104,14
1004041960,0,"2011-04-29 06:10:00","2011-04-29 06:13:00",10088,10239,3
1004041961,4980,"2011-04-29 06:11:00","2011-04-29 06:18:00",10042,10055,7
1004042016,0,"2011-04-29 06:02:00","2011-04-29 06:21:00",10230,10347,19
1004042017,0,"2011-04-29 06:04:00","2011-04-29 06:45:00",10105,10228,41
1004042141,0,"2011-04-29 06:15:00","2011-04-29 06:58:00",10360,10252,43
1004042142,2950,"2011-04-29 06:17:00","2011-04-29 06:41:00",10200,10064,24
1004042224,0,"2011-04-29 06:17:00","2011-04-29 06:30:00",10047,40406,13
1004042225,4413,"2011-04-29 06:31:00","2011-04-29 06:44:00",10014,10396,13
1004042226,3735,"2011-04-29 06:34:00","2011-04-29 06:37:00",10319,10140,3
1004042227,0,"2011-04-29 06:35:00","2011-04-29 06:45:00",10269,10347,10
1004042228,0,"2011-04-29 06:35:00","2011-04-29 06:52:00",10267,10324,17
1004042229,0,"2011-04-29 06:38:00","2011-04-29 06:57:00",10234,10009,19
1004042230,508,"2011-04-29 06:41:00","2011-04-29 06:54:00",10210,10312,13
1004042231,5444,"2011-04-29 06:43:00","2011-04-29 06:51:00",10360,10112,8
1004042254,3187,"2011-04-29 06:10:00","2011-04-29 06:14:00",10151,10151,4
1004042255,0,"2011-04-29 06:16:00","2011-04-29 06:32:00",10011,10213,16
1004042256,0,"2011-04-29 06:19:00","2011-04-29 06:31:00",10270,10324,12
1004042257,0,"2011-04-29 06:23:00","2011-04-29 06:35:00",10123,10226,12
1004042258,3471,"2011-04-29 06:22:00","2011-04-29 06:44:00",10002,40406,22
1004042259,0,"2011-04-29 06:26:00","2011-04-29 06:57:00",10233,10266,31
1004042301,0,"2011-04-29 06:22:00","2011-04-29 06:44:00",10002,40406,22
1004042302,5182,"2011-04-29 06:28:00","2011-04-29 06:35:00",10134,10115,7
1004042303,2533,"2011-04-29 06:33:00","2011-04-29 07:00:00",10151,10153,27
1004042304,0,"2011-04-29 06:34:00","2011-04-29 06:45:00",10001,10055,11
1004042305,6010,"2011-04-29 06:39:00","2011-04-29 07:07:00",10312,10312,28
1004042386,1350,"2011-04-29 06:27:00","2011-04-29 06:38:00",10300,10333,11
1004042388,4102,"2011-04-29 06:41:00","2011-04-29 06:51:00",10151,10290,10
1004042389,6172,"2011-04-29 06:44:00","2011-04-29 06:58:00",10284,10251,14
1004042409,5634,"2011-04-29 06:02:00","2011-04-29 06:08:00",10218,10405,6
1004042410,3490,"2011-04-29 06:08:00","2011-04-29 06:12:00",10144,10117,4
1004042428,5656,"2011-04-29 06:00:00","2011-04-29 06:07:00",10080,10101,7
1004042458,0,"2011-04-29 06:28:00","2011-04-29 06:37:00",10226,10083,9
1004042459,1785,"2011-04-29 06:35:00","2011-04-29 06:57:00",10059,10099,22
1004042460,0,"2011-04-29 06:42:00","2011-04-29 06:58:00",10300,10300,16
1004042502,3547,"2011-04-29 06:09:00","2011-04-29 06:13:00",10401,10122,4
1004042527,5723,"2011-04-29 06:09:00","2011-04-29 06:14:00",10001,10057,5
1004042548,3087,"2011-04-29 06:35:00","2011-04-29 07:03:00",10333,10333,28
1004042549,4355,"2011-04-29 06:35:00","2011-04-29 06:43:00",40205,10127,8
1004042556,6248,"2011-04-29 06:19:00","2011-04-29 06:36:00",10269,40374,17
1004042557,115,"2011-04-29 06:21:00","2011-04-29 06:32:00",10360,10127,11
1004042558,418,"2011-04-29 06:22:00","2011-04-29 06:29:00",10401,10087,7
1004042559,2741,"2011-04-29 06:33:00","2011-04-29 07:04:00",10071,10349,31
1004042560,1844,"2011-04-29 06:36:00","2011-04-29 06:57:00",10224,10224,21
1004042561,5008,"2011-04-29 06:49:00","2011-04-29 06:59:00",10033,10127,10
1004042571,4006,"2011-04-29 06:01:00","2011-04-29 06:45:00",10296,10048,44
1004042572,5653,"2011-04-29 06:34:00","2011-04-29 06:46:00",10022,10098,12
1004042573,596,"2011-04-29 06:43:00","2011-04-29 06:56:00",10360,10055,13
1004042574,1283,"2011-04-29 06:53:00","2011-04-29 06:56:00",10135,10112,3
1004042575,178,"2011-04-29 06:53:00","2011-04-29 06:57:00",10007,10114,4
1004042576,4530,"2011-04-29 06:54:00","2011-04-29 07:00:00",10242,10099,6
1004042578,4170,"2011-04-29 06:17:00","2011-04-29 06:23:00",10162,10388,6
1004042579,5209,"2011-04-29 06:35:00","2011-04-29 06:44:00",10153,10121,9
1004042580,3476,"2011-04-29 06:37:00","2011-04-29 06:56:00",10061,10064,19
1004042581,188,"2011-04-29 06:44:00","2011-04-29 06:54:00",10217,10084,10
1004042585,0,"2011-04-29 06:23:00","2011-04-29 06:49:00",10110,10131,26
1004042586,4604,"2011-04-29 06:30:00","2011-04-29 06:43:00",10360,10127,13
1004042589,3087,"2011-04-29 06:26:00","2011-04-29 06:31:00",10375,10333,5
1004042590,5803,"2011-04-29 06:42:00","2011-04-29 06:51:00",10337,10293,9
1004042591,2812,"2011-04-29 06:03:00","2011-04-29 06:09:00",10253,10122,6
1004042592,2083,"2011-04-29 06:07:00","2011-04-29 06:16:00",10267,10285,9
1004042593,2132,"2011-04-29 06:13:00","2011-04-29 06:31:00",10113,10213,18
1004042594,4384,"2011-04-29 06:16:00","2011-04-29 06:43:00",10020,10108,27
1004042595,3530,"2011-04-29 06:20:00","2011-04-29 06:33:00",40374,10302,13
1004042596,3952,"2011-04-29 06:24:00","2011-04-29 06:30:00",10052,10120,6
1004042597,5516,"2011-04-29 06:27:00","2011-04-29 06:46:00",10142,10303,19
1004042598,706,"2011-04-29 06:29:00","2011-04-29 06:39:00",10148,10340,10
1004042599,3246,"2011-04-29 06:41:00","2011-04-29 06:51:00",40374,10221,10
1004042600,2732,"2011-04-29 06:42:00","2011-04-29 06:58:00",10033,40374,16
1004042610,930,"2011-04-29 06:32:00","2011-04-29 06:41:00",10293,10392,9
1004042611,2592,"2011-04-29 06:39:00","2011-04-29 06:47:00",10197,10338,8
1004042612,5350,"2011-04-29 06:47:00","2011-04-29 07:18:00",10228,10185,31
1004042613,3665,"2011-04-29 06:50:00","2011-04-29 06:56:00",10156,10080,6
1004042614,5209,"2011-04-29 06:52:00","2011-04-29 07:49:00",10121,10388,57
1004042615,5647,"2011-04-29 06:53:00","2011-04-29 06:56:00",10063,10073,3
1004042616,5079,"2011-04-29 06:59:00","2011-04-29 07:21:00",10303,10142,22
1004042618,6214,"2011-04-29 06:24:00","2011-04-29 06:50:00",10047,10064,26
1004042619,5774,"2011-04-29 06:24:00","2011-04-29 06:28:00",10208,10114,4
1004042620,5974,"2011-04-29 06:29:00","2011-04-29 06:31:00",10115,10087,2
1004042621,5172,"2011-04-29 06:29:00","2011-04-29 06:42:00",10190,10252,13
1004042622,5961,"2011-04-29 06:31:00","2011-04-29 06:36:00",10051,10127,5
1004042623,1613,"2011-04-29 06:31:00","2011-04-29 06:39:00",10343,10045,8
1004042624,3321,"2011-04-29 06:32:00","2011-04-29 06:43:00",10055,10084,11
1004042625,5681,"2011-04-29 06:44:00","2011-04-29 06:50:00",10077,10072,6
1004042638,5797,"2011-04-29 06:00:00","2011-04-29 06:10:00",10269,10175,10
1004042639,2707,"2011-04-29 06:17:00","2011-04-29 06:30:00",40090,10331,13
