"start_stand_id","end_stand_id","flow"
10191,10191,71
40406,40406,56
10064,10064,29
10267,10267,23
10036,10036,22
10191,40406,21
10255,10255,20
10343,10343,20
10248,10248,19
10224,10224,18
10191,10213,17
10379,10379,17
10213,10213,16
10350,10350,16
10233,10233,15
40334,40334,15
10047,10047,15
10378,10378,14
10153,10153,14
10298,10273,13
40406,10191,13
10225,10225,12
10345,10345,12
10273,10273,12
10304,10304,12
10300,10300,12
10213,10191,12
10150,10150,11
40406,10248,11
10109,10109,11
40334,10009,11
40406,10224,10
10222,10222,10
10350,40406,10
40406,10047,10
10153,40406,10
10191,10300,10
10007,10007,9
10403,10285,9
10392,10392,9
10129,10129,9
10191,10350,9
10273,10278,9
40090,10098,9
10405,10405,9
10233,10235,9
40406,10333,9
10191,10036,9
10285,10285,9
10192,10233,9
40406,10103,8
40406,10304,8
10398,10191,8
10036,10191,8
40406,10153,8
10002,10145,8
10191,10398,8
10196,10196,8
10399,10399,8
10397,10397,8
10091,10272,8
10278,10278,8
10360,10108,8
10153,10224,8
10155,10155,8
10233,10111,8
10271,10271,8
10246,40406,8
10360,10360,8
10395,10300,8
10315,10315,8
10191,10192,8
10300,10191,8
10312,10312,8
10388,10251,7
10023,10109,7
10272,10091,7
10243,40406,7
10193,40374,7
10226,10083,7
10192,40406,7
40334,10144,7
10379,10191,7
10108,10108,7
10191,10345,7
10273,10194,7
10321,10269,7
10144,10144,7
10135,10031,7
10273,10193,7
10064,10386,7
10248,10300,7
10166,10166,7
40406,10378,7
10064,10122,7
10068,10386,7
10194,10009,7
10224,40406,7
10043,10304,7
10234,10326,7
10378,10337,7
10238,10238,7
10155,10303,7
10130,10427,7
10191,10226,7
10264,10003,7
10153,10300,7
10233,10213,7
10074,10252,7
10234,10234,7
10239,10239,7
10134,10134,7
10144,10270,7
10252,10252,7
10103,10191,7
10064,10251,7
10350,10303,7
10083,10083,7
10111,10111,7
10266,10191,6
10049,10234,6
10157,10155,6
10130,10046,6
10187,10222,6
10046,10309,6
10157,10191,6
10131,10131,6
10153,10337,6
10100,10284,6
10252,10146,6
10253,10253,6
10116,10192,6
10222,10303,6
10403,40406,6
10284,10149,6
10014,10011,6
10304,40406,6
10064,10306,6
10388,10263,6
10193,10252,6
10369,10130,6
10285,10155,6
10145,10002,6
10248,10304,6
10258,10002,6
10207,40250,6
10329,10329,6
40334,10074,6
10304,10337,6
40334,10132,6
10148,10190,6
10193,10269,6
10248,10153,6
10226,10226,6
10191,40374,6
10088,10239,6
10191,10277,6
10109,10322,6
10124,10300,6
10194,10191,6
10388,40090,6
10097,10097,6
10263,10282,6
10113,10097,6
10109,10386,6
10049,10049,6
10372,10251,6
10192,10023,6
10282,10064,6
10303,40406,6
10320,10355,6
10099,10233,6
10192,10192,6
10333,10333,6
10326,10096,6
10166,10345,6
10011,10083,6
10350,10191,6
10116,10116,6
10191,10228,6
10162,10162,6
10045,10045,6
10111,10191,6
10047,10304,6
10272,10324,6
10251,10251,6
10153,10213,6
10303,10303,6
10089,10138,6
10191,10219,6
40406,10225,6
10083,10226,6
10191,10341,6
10151,10248,6
10031,10031,6
10410,10182,6
10191,10083,6
10270,10144,6
10103,10303,6
10303,10191,6
10191,10303,6
10267,10192,6
10083,10116,6
10360,10252,6
10288,10191,6
10191,40334,6
10337,10337,6
10116,40406,6
10172,10150,6
10238,10410,6
10226,10377,6
10315,10271,6
10185,10378,6
10275,10095,6
10265,10265,6
40406,10410,5
10187,10303,5
10105,10337,5
10118,10243,5
10131,10222,5
10176,10405,5
10159,10192,5
10301,10072,5
10055,10177,5
10247,10247,5
10300,10293,5
10230,10298,5
10219,10187,5
10194,10197,5
10074,10118,5
10299,10118,5
10130,10309,5
10404,10128,5
40374,10338,5
10149,40334,5
10288,10149,5
10236,10401,5
10162,10101,5
10233,10285,5
10222,10111,5
10386,10066,5
10405,10392,5
10268,10243,5
10032,10253,5
40334,10270,5
10378,10118,5
10378,10345,5
10300,10248,5
10251,10234,5
10113,10380,5
10155,10157,5
10405,10113,5
10397,10131,5
10311,10226,5
10064,10213,5
10040,40406,5
10278,10115,5
10378,10036,5
10011,10357,5
10185,10185,5
10224,10379,5
10427,10130,5
10265,10145,5
10153,10105,5
10211,10211,5
40250,40250,5
10210,10396,5
10207,10143,5
10401,10073,5
10158,10158,5
10074,10221,5
10270,10252,5
10087,10237,5
10130,10085,5
10389,10049,5
10105,10191,5
40406,10233,5
10068,10064,5
10036,40406,5
40406,10222,5
10246,10039,5
10221,10222,5
10257,10228,5
10293,10392,5
10074,10064,5
10392,40406,5
10009,10295,5
10232,10064,5
10225,10304,5
10270,10387,5
10111,10285,5
10225,10002,5
10111,10213,5
10213,10111,5
10261,10379,5
10153,10261,5
10396,10396,5
10404,10191,5
10315,10114,5
10073,10246,5
10148,10222,5
10230,40334,5
10134,10278,5
10191,10248,5
10204,10234,5
10233,10386,5
10272,10101,5
10053,10343,5
10359,10359,5
10108,10233,5
10210,10312,5
10116,10109,5
10190,10191,5
10378,10303,5
10304,10277,5
10023,10018,5
10222,10168,5
10329,10343,5
10034,10362,5
10151,40406,5
10220,10218,5
10350,10153,5
10225,10337,5
10266,10350,5
10254,10057,5
10335,10194,5
10152,10194,5
10018,10018,5
10258,10258,5
10197,10249,5
10338,10009,5
10116,10233,5
10213,10105,5
10233,10045,5
10238,10069,5
10146,10190,5
10224,10105,5
10130,10134,5
10270,10386,5
10300,40406,5
10047,10224,5
10234,10014,5
40406,10343,5
10276,10009,5
10074,10285,5
10267,10341,5
10252,10235,5
10151,10151,5
10379,10225,5
10278,10134,5
10113,10113,5
10134,10130,5
10071,10427,5
10064,10129,5
10225,10379,5
10049,10111,5
10047,10255,5
10018,10283,5
10399,10132,5
10394,40406,5
10175,10213,5
10175,10167,5
10410,40406,5
10046,10202,5
10304,10153,5
10056,10056,5
10185,10191,5
10233,10379,5
10326,10012,5
10018,10199,5
10335,40205,5
10324,10092,5
10222,40406,5
10247,10114,5
10379,10105,5
10267,10320,5
10285,10296,5
10228,10213,5
10251,10399,5
10378,10187,5
10074,10359,5
10142,10350,5
10157,10036,5
10270,10207,5
10252,10092,5
10285,10111,4
10208,10045,4
10225,10191,4
10074,10185,4
10109,10004,4
10405,10357,4
10148,10233,4
10036,10187,4
10130,10130,4
10375,10375,4
40406,10386,4
10162,10260,4
10163,10163,4
10130,10129,4
10278,10237,4
10269,40334,4
10233,10109,4
10272,10193,4
10026,10244,4
10009,10278,4
10261,10337,4
10308,10226,4
10304,10047,4
10211,10099,4
10110,10403,4
10152,40334,4
10006,10227,4
10243,10243,4
10325,10304,4
10397,10224,4
10300,10258,4
10368,40250,4
10145,10157,4
10332,10368,4
10109,10287,4
10238,10255,4
10166,10281,4
10168,10168,4
10260,10076,4
10180,10210,4
10381,10050,4
10132,10399,4
10392,10155,4
10289,10217,4
10157,10157,4
10188,10188,4
10143,10143,4
10014,10257,4
10193,10298,4
10095,10018,4
10388,10252,4
10226,10049,4
10147,10061,4
10098,10109,4
10166,10300,4
40406,10265,4
10182,10047,4
10222,10157,4
10111,10378,4
10379,10300,4
10166,10332,4
10064,40205,4
10311,10301,4
10108,10191,4
10379,10111,4
10273,10006,4
10064,10191,4
10226,40090,4
10008,10247,4
10157,10266,4
10267,10161,4
10028,10271,4
10088,10028,4
10112,10170,4
10258,10191,4
10124,10218,4
10006,10007,4
10260,10049,4
10061,10079,4
10098,10083,4
10349,10349,4
10278,10194,4
10175,10194,4
10315,10343,4
10101,10104,4
10268,10267,4
10191,10260,4
10243,10100,4
10376,10074,4
10161,10267,4
10025,10075,4
10303,10337,4
10399,10039,4
10010,10152,4
