time, ID, px, py, vx, vy
1, 0, 264.35526, 455.50482, -1.6447332, -1.6652764
1, 1, 262.7324, 117.91671, -3.2676113, -3.4023392
1, 2, 263.7811, 325.37036, -2.2188892, -1.672059
1, 3, 263.5548, 205.83315, -2.4451885, 3.4569123
1, 4, 261.68063, 63.054974, -4.319357, 1.2254779
1, 5, 269.053, 55.244358, 3.0530083, 0.577423
1, 6, 269.36548, 209.58032, 3.365483, 0.45065725
1, 7, 268.08646, 210.10406, 2.0864496, 1.8906199
1, 8, 267.6277, 174.88728, 1.6276709, -3.1577406
1, 9, 268.13464, 64.86797, 2.1346588, -0.8146982
1, 10, 268.7534, 383.74542, 2.7534008, 0.5548772
1, 11, 268.26355, 439.37524, 2.2635403, -2.5135982
1, 12, 267.88785, 287.95605, 1.8878564, 2.0702927
1, 13, 262.51276, 86.25876, -3.4872434, -1.8555586
1, 14, 268.97906, 232.07872, 2.9790735, 0.92589283
1, 15, 268.07697, 287.25046, 2.076969, 1.7322681
1, 16, 267.2564, 135.25174, 1.2564032, 2.5109313
1, 17, 268.67453, 98.26745, 2.6745183, -2.692157
1, 18, 264.08264, 530.1194, -1.9173619, 1.560607
1, 19, 267.68024, 137.73741, 1.6802336, 2.0550435
1, 20, 263.97128, 370.82043, -2.0287027, 0.580192
1, 21, 263.8382, 263.79553, -2.1617923, 3.011661
1, 22, 264.14398, 360.82303, -1.8560284, 1.3459346
1, 23, 268.23468, 44.1051, 2.2346768, 2.0820203
1, 24, 263.2492, 513.5449, -2.7508013, 3.9656394
1, 25, 268.3644, 30.668564, 2.364424, -0.6392374
1, 26, 264.61563, 318.0849, -1.3843647, -1.8127613
1, 27, 267.93948, 123.30659, 1.939495, 2.3628674
1, 28, 266.68146, 514.66144, 0.68147033, -2.107791
1, 29, 266.6067, 322.45615, 0.6067029, 4.177209
1, 30, 264.72314, 422.09503, -1.2768501, 3.8363194
1, 31, 266.35544, 59.753685, 0.3554345, 1.9682945
1, 32, 268.4731, 111.39377, 2.4731247, 0.108904585
1, 33, 263.77496, 323.80542, -2.2250264, 1.205957
1, 34, 270.24554, 145.32486, 4.245557, -0.10855712
1, 35, 262.41763, 368.44012, -3.582372, -2.9169335
1, 36, 265.44333, 210.2639, -0.5566639, -3.6101182
1, 37, 268.19012, 127.73671, 2.1901238, -3.2749183
1, 38, 266.66705, 131.8423, 0.66705084, -1.9580905
1, 39, 262.91934, 432.86987, -3.080668, -3.2697985
1, 40, 270.4998, 349.3777, 4.4997797, 0.9708305
1, 41, 268.99326, 36.041946, 2.9932501, 0.34625247
1, 42, 263.9974, 377.851, -2.0026062, -3.776411
1, 43, 268.7009, 406.53018, 2.700909, -0.024029016
1, 44, 262.19888, 427.86026, -3.8011227, 0.6384881
1, 45, 268.0263, 517.29535, 2.0263042, -2.4167833
1, 46, 268.87616, 36.391224, 2.8761501, -3.884253
1, 47, 263.8778, 400.77258, -2.1221929, -1.250095
1, 48, 268.4184, 451.93658, 2.4183936, -3.3740122
1, 49, 264.38068, 71.86919, -1.6193113, 1.3283147
1, 50, 267.88544, 464.07648, 1.8854268, -3.6725528
1, 51, 262.7704, 217.75687, -3.2296257, 3.0262375
1, 52, 265.70633, 537.3107, -0.29365808, 3.403137
1, 53, 262.1462, 471.69424, -3.8537934, 2.979919
1, 54, 267.10373, 559.515, 1.1037368, -3.0956163
1, 55, 264.1133, 100.804214, -1.8866856, 2.2712195
1, 56, 264.0728, 466.24652, -1.927177, 2.4296854
1, 57, 263.35815, 32.2118, -2.6418452, 1.4065889
1, 58, 269.03683, 560.37787, 3.036845, -1.3156168
1, 59, 267.72977, 268.90436, 1.7297639, 1.1245034
1, 60, 266.06415, 273.56113, 0.06413989, 3.0250568
1, 61, 267.05136, 279.787, 1.0513495, 2.4263172
1, 62, 269.82364, 534.90155, 3.8236496, -2.5871458
1, 63, 261.9593, 229.32153, -4.040725, -1.0441682
1, 64, 263.6731, 29.38111, -2.326906, -2.1176543
1, 65, 264.17673, 534.6514, -1.8232801, -2.1013978
1, 66, 262.62332, 154.2369, -3.3766687, -1.1423272
1, 67, 268.26556, 332.98227, 2.265551, -4.3587656
1, 68, 265.55396, 519.7912, -0.4460408, 2.4513528
1, 69, 267.99387, 185.94664, 1.9938635, -2.81119
1, 70, 262.2392, 478.6112, -3.7608123, 3.0893915
1, 71, 264.73132, 388.10724, -1.2686701, -2.1340365
1, 72, 264.20023, 115.368645, -1.7997764, -2.5891643
1, 73, 263.6834, 453.19772, -2.316602, 4.360189
1, 74, 263.56863, 215.16376, -2.4313726, 2.827371
1, 75, 270.19476, 260.32053, 4.194756, -0.75333965
1, 76, 269.26755, 353.32208, 3.2675405, -3.128499
1, 77, 264.40573, 487.78903, -1.594276, -3.0851905
1, 78, 269.38373, 147.74794, 3.3837354, -1.3646675
1, 79, 261.41418, 351.89975, -4.5858006, -1.9045583
1, 80, 262.91418, 271.4105, -3.085812, -1.669806
1, 81, 263.62372, 397.38367, -2.3762667, 1.1566993
1, 82, 267.87213, 524.8914, 1.8721446, 1.1405479
1, 83, 266.66464, 218.15323, 0.66463286, -3.112745
1, 84, 263.4512, 186.52812, -2.548789, 3.7202613
1, 85, 262.7104, 448.64267, -3.2896, 1.0340872
1, 86, 261.72238, 233.25528, -4.2776113, 1.8979594
1, 87, 266.26102, 83.45636, 0.2610251, 3.7578785
1, 88, 264.62927, 122.257225, -1.3707128, -4.080537
1, 89, 265.34894, 55.693073, -0.65105295, 2.6623394
1, 90, 263.88788, 383.46954, -2.1121118, 1.2146796
1, 91, 268.9626, 224.1168, 2.9625847, 1.5679492
1, 92, 262.86685, 129.56224, -3.1331336, -1.3750792
1, 93, 265.54922, 189.67589, -0.45077655, 2.7059236
1, 94, 263.5833, 272.11462, -2.4166968, 0.5517192
1, 95, 267.77322, 66.34555, 1.773212, 1.7169195
1, 96, 264.26804, 144.56238, -1.73196, -1.0635346
1, 97, 265.0781, 186.03494, -0.92191374, -4.4219823
1, 98, 268.77225, 564.4223, 2.7722328, -0.7351916
1, 99, 264.98816, 187.4126, -1.0118419, -4.6249676
2, 0, 262.78912, 453.7654, -1.566135, -1.7394001
2, 1, 259.55, 114.43453, -3.1823952, -3.4821773
2, 2, 261.6367, 323.6038, -2.1444037, -1.766574
2, 3, 261.26794, 209.39677, -2.286852, 3.5636356
2, 4, 257.42084, 64.47371, -4.2597914, 1.4187391
2, 5, 272.0977, 55.864193, 3.0446808, 0.61983603
2, 6, 272.73297, 210.01561, 3.3675063, 0.43528005
2, 7, 270.17398, 211.99348, 2.0875385, 1.8894174
2, 8, 269.38586, 171.8003, 1.7581676, -3.086986
2, 9, 270.296, 64.126976, 2.1613472, -0.7409992
2, 10, 271.51196, 384.27402, 2.7585657, 0.5286018
2, 11, 270.57913, 436.90952, 2.3155823, -2.4657393
2, 12, 269.8693, 289.93695, 1.9814448, 1.9809061
2, 13, 259.03867, 84.3787, -3.474098, -1.8800553
